mig_name,correct_q
a61 - a62 - b61,4
a61 - a63 - b61,4
a61 - a64 - b61,4
a62 - a61 - b61,6
a62 - a63 - b61,4
a62 - a64 - b61,6
a63 - a61 - b61,5
a63 - a62 - b61,4
a63 - a64 - b61,4
a64 - a61 - b61,4
a64 - a62 - b61,4
a64 - a63 - b61,4
a72 - a73 - b71,4
a72 - a74 - b71,3
a73 - a72 - b71,4
a73 - a74 - b71,3
a74 - a72 - b71,3
a74 - a73 - b71,3
a81 - a82 - b81,4
a81 - a83 - b81,4
a81 - a84 - b81,3
a82 - a81 - b81,3
a82 - a83 - b81,3
a82 - a84 - b81,3
a83 - a81 - b81,3
a83 - a82 - b81,3
a83 - a84 - b81,3
a84 - a81 - b81,7
a84 - a82 - b81,5
a84 - a83 - b81,6
