mig_name,correct_q
a11 - a13 - b12,3
a11 - a14 - b12,3
a13 - a11 - b12,3
a13 - a14 - b12,3
a14 - a11 - b12,3
a14 - a13 - b12,3
a21 - a22 - b22,4
a21 - a23 - b22,4
a21 - a24 - b22,3
a21 - a25 - b22,4
a22 - a21 - b22,4
a22 - a23 - b22,5
a22 - a24 - b22,4
a22 - a25 - b22,4
a23 - a21 - b22,4
a23 - a22 - b22,5
a23 - a24 - b22,4
a23 - a25 - b22,4
a24 - a21 - b22,3
a24 - a22 - b22,4
a24 - a23 - b22,4
a24 - a25 - b22,3
a25 - a21 - b22,4
a25 - a22 - b22,4
a25 - a23 - b22,4
a25 - a24 - b22,3
a33 - a35 - b31,6
a33 - a35 - b32,4
a35 - a33 - b31,6
a35 - a33 - b32,4
a43 - a44 - b41,2
a43 - a44 - b42,5
a43 - a45 - b41,2
a43 - a45 - b42,5
a44 - a43 - b41,2
a44 - a43 - b42,5
a44 - a45 - b41,2
a44 - a45 - b42,5
a45 - a43 - b41,2
a45 - a43 - b42,5
a45 - a44 - b41,2
a45 - a44 - b42,5
a51 - a52 - b52,3
a51 - a53 - b52,3
a51 - a54 - b52,3
a51 - a55 - b52,3
a52 - a51 - b52,3
a52 - a53 - b52,3
a52 - a54 - b52,3
a52 - a55 - b52,3
a53 - a51 - b52,3
a53 - a52 - b52,3
a53 - a54 - b52,4
a53 - a55 - b52,4
a54 - a51 - b52,3
a54 - a52 - b52,3
a54 - a53 - b52,4
a54 - a55 - b52,4
a55 - a51 - b52,3
a55 - a52 - b52,3
a55 - a53 - b52,4
a55 - a54 - b52,4
