config,atm_off,craft_off,MRR,queries_atm,correct_atm,gt_exist_atm,ratio_corr_ext_atm,queries_craft,correct_craft,gt_exist_craft,ratio_corr_ext_craft
jaccard_empty_atm_intersection,0.364883228,0.64981428,0.713185735,266,44,91,0.483516484,416,131,180,0.727777778
jaccard_empty_craftdroid_atm,0.298779481,0.673529847,0.69932864,251,22,75,0.293333333,538,88,171,0.514619883
jaccard_empty_craftdroid_intersection,0.316776198,0.650284935,0.672377942,267,26,83,0.313253012,543,94,176,0.534090909
jaccard_empty_custom_atm,0.368371295,0.695457157,0.666736522,263,38,81,0.469135802,416,127,173,0.734104046
jaccard_empty_custom_intersection,0.326730214,0.65153447,0.738217364,252,42,83,0.506024096,394,116,167,0.694610778
nnlm_standard_custom_atm,0.227626342,0.693993323,0.76135351,577,38,65,0.584615385,724,143,180,0.794444444
use_standard_atm_atm,0.297886445,0.750660451,0.760503807,767,18,77,0.233766234,878,57,188,0.303191489
use_standard_custom_atm,0.292718131,0.689305349,0.776731661,618,42,75,0.56,697,140,166,0.843373494
use_standard_custom_craftdroid,0.117618493,0.691531385,0.76068395,574,27,60,0.45,776,150,183,0.819672131
use_standard_custom_union,0.241355965,0.644890706,0.759220613,631,43,72,0.597222222,754,137,174,0.787356322
wm_android_custom_atm,0.265551756,0.602397397,0.779637883,581,42,80,0.525,640,116,153,0.758169935
wm_android_custom_craftdroid,0.221482051,0.624777039,0.762863082,592,32,73,0.438356164,709,127,171,0.742690058
wm_android_custom_union,0.142700663,0.621525697,0.7676493,614,33,68,0.485294118,711,124,170,0.729411765
wm_blogs_atm_atm,0.284955521,0.6469361,0.765481182,726,22,73,0.301369863,851,53,170,0.311764706
wm_blogs_custom_atm,0.329047764,0.704680362,0.774058665,575,37,70,0.528571429,712,130,166,0.78313253
wm_blogs_custom_union,0.218097129,0.652272094,0.769059086,624,37,66,0.560606061,760,144,181,0.79558011
wm_googleplay_atm_atm,0.305261108,0.654129204,0.762631338,718,18,76,0.236842105,864,52,169,0.307692308
wm_googleplay_custom_atm,0.279934872,0.652920834,0.795891209,551,32,66,0.484848485,759,145,179,0.810055866
wm_googleplay_custom_craftdroid,0.201093013,0.620664315,0.77049275,600,30,65,0.461538462,677,127,161,0.788819876
wm_googleplay_custom_intersection,0.29300576,0.643553328,0.771865857,593,33,64,0.515625,739,139,177,0.785310734
wm_googleplay_custom_union,0.240116828,0.610700113,0.77295361,622,39,61,0.639344262,743,133,172,0.773255814
wm_standard_atm_atm,0.253411531,0.640145965,0.76537099,691,18,65,0.276923077,902,47,179,0.262569832
wm_standard_custom_atm,0.265243982,0.654196696,0.788772192,540,38,63,0.603174603,714,138,169,0.816568047
wm_standard_custom_craftdroid,0.211008749,0.652815972,0.766266855,552,27,52,0.519230769,762,144,179,0.804469274
wm_standard_custom_union,0.170659291,0.627128789,0.776087053,575,31,55,0.563636364,656,124,159,0.779874214
