algorithm,descriptors,training_set,word_embedding,unique_q,correct_q,gt_exist,ratio_corr_ext,src,target,task
custom,atm,googleplay,wm,29,0,3,0.0,a61,a62,b61
custom,atm,googleplay,wm,64,2,3,0.6666666666666666,a61,a63,b61
custom,atm,googleplay,wm,47,3,4,0.75,a61,a64,b61
custom,atm,googleplay,wm,8,0,0,0.0,a62,a61,b61
custom,atm,googleplay,wm,29,4,4,1.0,a62,a63,b61
custom,atm,googleplay,wm,16,0,1,0.0,a62,a64,b61
custom,atm,googleplay,wm,11,0,0,0.0,a63,a61,b61
custom,atm,googleplay,wm,29,2,4,0.5,a63,a62,b61
custom,atm,googleplay,wm,23,0,4,0.0,a63,a64,b61
custom,atm,googleplay,wm,10,0,0,0.0,a64,a61,b61
custom,atm,googleplay,wm,22,4,4,1.0,a64,a62,b61
custom,atm,googleplay,wm,21,0,0,0.0,a64,a63,b61
custom,atm,googleplay,wm,28,1,2,0.5,a72,a73,b71
custom,atm,googleplay,wm,10,1,3,0.3333333333333333,a72,a74,b71
custom,atm,googleplay,wm,18,0,2,0.0,a73,a72,b71
custom,atm,googleplay,wm,17,1,3,0.3333333333333333,a73,a74,b71
custom,atm,googleplay,wm,11,2,2,1.0,a74,a72,b71
custom,atm,googleplay,wm,17,1,1,1.0,a74,a73,b71
custom,atm,googleplay,wm,8,1,2,0.5,a81,a82,b81
custom,atm,googleplay,wm,17,1,4,0.25,a81,a83,b81
custom,atm,googleplay,wm,13,0,1,0.0,a81,a84,b81
custom,atm,googleplay,wm,12,1,3,0.3333333333333333,a82,a81,b81
custom,atm,googleplay,wm,7,0,0,0.0,a82,a83,b81
custom,atm,googleplay,wm,8,1,1,1.0,a82,a84,b81
custom,atm,googleplay,wm,10,1,1,1.0,a83,a81,b81
custom,atm,googleplay,wm,8,1,1,1.0,a83,a82,b81
custom,atm,googleplay,wm,15,2,3,0.6666666666666666,a83,a84,b81
custom,atm,googleplay,wm,13,1,3,0.3333333333333333,a84,a81,b81
custom,atm,googleplay,wm,9,1,1,1.0,a84,a82,b81
custom,atm,googleplay,wm,21,1,6,0.16666666666666666,a84,a83,b81
custom,atm,standard,wm,36,3,4,0.75,a61,a62,b61
custom,atm,standard,wm,48,2,3,0.6666666666666666,a61,a63,b61
custom,atm,standard,wm,42,3,4,0.75,a61,a64,b61
custom,atm,standard,wm,8,0,0,0.0,a62,a61,b61
custom,atm,standard,wm,21,0,1,0.0,a62,a63,b61
custom,atm,standard,wm,27,4,6,0.6666666666666666,a62,a64,b61
custom,atm,standard,wm,11,0,0,0.0,a63,a61,b61
custom,atm,standard,wm,26,3,4,0.75,a63,a62,b61
custom,atm,standard,wm,27,0,3,0.0,a63,a64,b61
custom,atm,standard,wm,10,0,0,0.0,a64,a61,b61
custom,atm,standard,wm,23,4,4,1.0,a64,a62,b61
custom,atm,standard,wm,27,3,4,0.75,a64,a63,b61
custom,atm,standard,wm,27,0,2,0.0,a72,a73,b71
custom,atm,standard,wm,10,1,3,0.3333333333333333,a72,a74,b71
custom,atm,standard,wm,20,2,3,0.6666666666666666,a73,a72,b71
custom,atm,standard,wm,17,1,3,0.3333333333333333,a73,a74,b71
custom,atm,standard,wm,11,2,2,1.0,a74,a72,b71
custom,atm,standard,wm,16,0,0,0.0,a74,a73,b71
custom,atm,standard,wm,8,1,2,0.5,a81,a82,b81
custom,atm,standard,wm,8,0,0,0.0,a81,a83,b81
custom,atm,standard,wm,13,0,1,0.0,a81,a84,b81
custom,atm,standard,wm,7,0,1,0.0,a82,a81,b81
custom,atm,standard,wm,7,0,0,0.0,a82,a83,b81
custom,atm,standard,wm,8,1,1,1.0,a82,a84,b81
custom,atm,standard,wm,17,3,3,1.0,a83,a81,b81
custom,atm,standard,wm,12,1,2,0.5,a83,a82,b81
custom,atm,standard,wm,14,3,3,1.0,a83,a84,b81
custom,atm,standard,wm,12,1,3,0.3333333333333333,a84,a81,b81
custom,atm,standard,wm,15,0,1,0.0,a84,a82,b81
custom,atm,standard,wm,12,0,0,0.0,a84,a83,b81
custom,atm,android,wm,34,0,3,0.0,a61,a62,b61
custom,atm,android,wm,79,2,3,0.6666666666666666,a61,a63,b61
custom,atm,android,wm,35,1,4,0.25,a61,a64,b61
custom,atm,android,wm,8,0,0,0.0,a62,a61,b61
custom,atm,android,wm,28,2,4,0.5,a62,a63,b61
custom,atm,android,wm,15,0,1,0.0,a62,a64,b61
custom,atm,android,wm,11,0,0,0.0,a63,a61,b61
custom,atm,android,wm,26,2,4,0.5,a63,a62,b61
