algorithm,descriptors,training_set,word_embedding,unique_q,correct_q,gt_exist,ratio_corr_ext,src,target,task
custom,atm,googleplay,wm,10,2,2,1.0,a11,a14,b12
custom,atm,googleplay,wm,11,2,2,1.0,a13,a11,b12
custom,atm,googleplay,wm,10,2,2,1.0,a13,a14,b12
custom,atm,googleplay,wm,10,1,1,1.0,a14,a11,b12
custom,atm,googleplay,wm,10,1,1,1.0,a14,a13,b12
custom,atm,googleplay,wm,11,2,3,0.6666666666666666,a21,a22,b22
custom,atm,googleplay,wm,13,2,3,0.6666666666666666,a21,a23,b22
custom,atm,googleplay,wm,9,2,2,1.0,a21,a24,b22
custom,atm,googleplay,wm,11,4,4,1.0,a21,a25,b22
custom,atm,googleplay,wm,8,2,3,0.6666666666666666,a22,a21,b22
custom,atm,googleplay,wm,13,0,3,0.0,a22,a23,b22
custom,atm,googleplay,wm,9,3,4,0.75,a22,a24,b22
custom,atm,googleplay,wm,12,4,4,1.0,a22,a25,b22
custom,atm,googleplay,wm,16,0,2,0.0,a23,a21,b22
custom,atm,googleplay,wm,16,0,3,0.0,a23,a22,b22
custom,atm,googleplay,wm,14,4,4,1.0,a23,a24,b22
custom,atm,googleplay,wm,17,0,1,0.0,a23,a25,b22
custom,atm,googleplay,wm,16,1,2,0.5,a24,a21,b22
custom,atm,googleplay,wm,18,1,2,0.5,a24,a22,b22
custom,atm,googleplay,wm,14,1,2,0.5,a24,a23,b22
custom,atm,googleplay,wm,14,2,3,0.6666666666666666,a24,a25,b22
custom,atm,googleplay,wm,11,2,3,0.6666666666666666,a25,a21,b22
custom,atm,googleplay,wm,12,2,3,0.6666666666666666,a25,a22,b22
custom,atm,googleplay,wm,13,2,3,0.6666666666666666,a25,a23,b22
custom,atm,googleplay,wm,9,1,1,1.0,a25,a24,b22
custom,atm,googleplay,wm,19,1,1,1.0,a33,a35,b31
custom,atm,googleplay,wm,12,0,0,0.0,a33,a35,b32
custom,atm,googleplay,wm,27,5,5,1.0,a35,a33,b31
custom,atm,googleplay,wm,15,1,2,0.5,a35,a33,b32
custom,atm,googleplay,wm,8,2,2,1.0,a43,a44,b41
custom,atm,googleplay,wm,23,5,5,1.0,a43,a44,b42
custom,atm,googleplay,wm,8,2,2,1.0,a43,a45,b41
custom,atm,googleplay,wm,23,5,5,1.0,a43,a45,b42
custom,atm,googleplay,wm,8,2,2,1.0,a44,a43,b41
custom,atm,googleplay,wm,21,5,5,1.0,a44,a43,b42
custom,atm,googleplay,wm,8,2,2,1.0,a44,a45,b41
custom,atm,googleplay,wm,22,4,5,0.8,a44,a45,b42
custom,atm,googleplay,wm,8,2,2,1.0,a45,a43,b41
custom,atm,googleplay,wm,22,4,5,0.8,a45,a43,b42
custom,atm,googleplay,wm,8,2,2,1.0,a45,a44,b41
custom,atm,googleplay,wm,29,5,5,1.0,a45,a44,b42
custom,atm,googleplay,wm,10,3,3,1.0,a51,a52,b52
